brw,slit_2TC,slit_3TC,slit_4TC,slit_5TC,slit_6TC,R5TC,R6TC,slit_2TC_SE,slit_3TC_SE,slit_4TC_SE,slit_5TC_SE,slit_6TC_SE,R5TC_SE,R6TC_SE
5,4.40349620111615,4.35352829094463,4.3095849141773,4.27246228056118,4.24571261827286,0.272229680346442,0.146470454888013,0.165470825758691,0.163593174233655,0.161941907488274,0.160546944813561,0.159532907873404,0.0102290466689152,0.00550363618235905
17,0.166936930752808,0.125793022223671,0.0901174249669642,0.215554915172741,0.307182385386967,0.563102415300312,0.349208270558579,0.00694513297483293,0.00520352270086285,0.00379918416230056,0.00908376976310188,0.0127534242934723,0.0234436500578757,0.0145385923942897
33,1.4740890083333,1.4721476788204,1.4603934030912,1.47255302085063,1.49411408319624,0.443911251211891,0.246472147220634,0.0508109040648813,0.0507439876798592,0.0503388253232768,0.0507579595600479,0.0515011555707271,0.0153013365347264,0.00849573706627987
70,5.81269790478276,5.73081621688878,5.63308412923385,5.54532614112434,5.44883771940618,0.748251517635182,0.410477971521667,0.383944504238229,0.378535996075647,0.372080525903703,0.366283872131292,0.359910549476621,0.0494240476092107,0.0271131863135231
75,4.52923584526034,4.51615928629918,4.56813510441034,4.41995682933836,4.29543857482738,0.474703076166787,0.305511165255612,0.179327973797171,0.178810228000118,0.180868128817555,0.175007601694786,0.17018861019653,0.0188081043137928,0.0121045894868755
117,8.44066876521231,10.7297366443057,10.9626314958497,9.28632338761775,5.954360894466,9.90734813703611,4.42388525813527,0.473535091420166,0.601955480555787,0.61502125625258,0.520977675659589,0.334049221565289,0.555818162790422,0.248187077163514
126,0.926556513775846,0.906940400342417,0.905573540726525,0.956050168260121,0.96160470943625,0.711553260173481,0.390923871522707,0.0442399403832027,0.043312068045629,0.0432768745988419,0.0456983685838598,0.046124839376996,0.0341307394936958,0.0187512608930434
150,12.7261724064053,12.4232174018703,12.2693076345037,12.1144976527666,12.0691119849469,1.94618812257784,0.715423023070927,0.514963587964916,0.502704536999305,0.496476590096269,0.490212216087947,0.488375688529131,0.078752352746137,0.0289495376227876
151,0.92448670626202,0.841746244377404,0.85033276795696,0.857002809177253,0.858244925449415,0.566375202850235,0.287793774202858,0.0377375140154699,0.0343600513447064,0.0347105529276202,0.0349828237697314,0.0350335269111742,0.0231194153585997,0.0117477314860028
158,0.68850939407355,0.704791741809048,0.720346098411428,0.726015440794261,0.712678467017822,0.345756089812494,0.189130968696609,0.0299351189349242,0.0306430453919884,0.0313193201369031,0.0315658126901983,0.0309859456619977,0.0150328372569826,0.00822306578667483
163,1.02060990580449,1.15036201307469,1.42961241716541,1.68175238438155,1.703397684022,0.518982944547372,0.334225519754359,0.0370373115634271,0.041745936470599,0.0518855244904348,0.0610365463246953,0.0618221282846115,0.0188335748104996,0.0121288404484307
166,1.13292359384017,1.10309716998253,1.11216996703416,1.11303307935196,1.10293331577525,0.393824377249026,0.225351672149062,0.0593481089308275,0.05778565417947,0.0582609319039834,0.0583061459714937,0.0577770706903491,0.0206304574886343,0.0118050287408291
172,0.333237889582894,0.156016453238186,0.0523901172031756,0.154791385044283,0.331716962046378,0.398891552569071,0.247594857401708,0.016464300105898,0.00768780364388781,0.00279186002164993,0.00765910597988509,0.0163263193644889,0.0196127830200478,0.0121737955688057
174,0.243571207374909,0.139508740987497,0.0839857908202708,0.138730360059693,0.220861846649125,0.467893373150978,0.262383601292583,0.0119620409104465,0.00685287659123729,0.0041258863746698,0.00681468301995244,0.0108457924422286,0.0229751893764394,0.0128839459477108
185,2.49675692638127,2.457314804664,2.43385735603898,2.43007410509005,2.41289951020587,0.431105215219267,0.242290988783984,0.103452726519322,0.101818448473172,0.100846492816695,0.10068973441477,0.0999781078047227,0.017862776091613,0.0100392886211375
186,4.29865163357107,4.29062051024037,4.20615125564993,4.32829840700544,4.32312622093067,1.27754204103313,0.724036574809479,0.217227894978109,0.216822050503109,0.212553484466785,0.218725806276089,0.218463921118541,0.0645592599670886,0.0365884361981582
190,1.66429723977862,1.67922340381854,1.68520537547208,1.73460232519957,1.75489935331364,0.379978699700774,0.212616461086315,0.0755724141610371,0.0762211811533451,0.076425170895587,0.0786619276063699,0.0795787794894146,0.0172540739597567,0.00965448891617843
201,0.362171553576761,0.219886055722313,0.177750125171069,0.22375760589025,0.286426771517373,1.00132083491563,0.562019422740958,0.0216125096043114,0.0131216531067104,0.0106072005089518,0.0133526870307217,0.0170981517426228,0.0597735172858964,0.0335495642443581
202,2.4251221092689,2.46783513622946,2.52488444234724,2.59482965911015,2.64941563324308,2.07834991031228,1.19681397623765,0.074852847472923,0.0761712106514059,0.0779320716789596,0.0800909727181297,0.0817758015274983,0.0641495157037135,0.0369403807232562
228,6.62411216314647,6.89177447044027,7.19398305260744,7.49792447768987,7.77282647229696,1.30407508999694,0.732603171787916,0.413148066255483,0.429842252879187,0.448691102091436,0.467648029289374,0.484793757605022,0.0813355946298258,0.0456927021013846
